step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
200,ramp,7.928158,7.930283,2.125,1.369,0.125,0.519,0.475,1,16,0.630371,2415
201,ramp,7.930598,7.939373,8.774,6.737,1.067,0.753,0.377,1,16,0.521484,14454
202,ramp,8.010602,8.021851,11.248,77.306,0.981,0.713,3.371,1,16,0.644531,13558
203,ramp,8.022289,8.029061,6.772,5.331,0.762,0.556,0.402,1,16,0.471680,11261
204,ramp,8.029330,8.032038,2.708,2.140,0.217,0.194,0.355,1,16,0.485840,4290
205,ramp,8.126298,8.150725,24.427,101.831,1.261,0.908,14.550,1,16,1.041992,16840
206,ramp,8.151079,8.155278,4.199,3.453,0.366,0.306,0.345,1,16,0.497803,7009
207,ramp,8.155533,8.157544,2.011,1.394,0.133,0.223,0.433,1,16,0.684570,2718
208,ramp,8.157776,8.175069,17.294,5.402,0.798,0.594,10.653,1,16,0.885742,11467
209,ramp,8.175614,8.181576,5.962,4.832,0.677,0.507,0.389,1,16,0.416748,10078
210,ramp,8.181885,8.199270,17.384,2.719,0.261,0.225,14.309,1,16,0.401123,5472
211,ramp,8.199784,8.202053,2.270,1.284,0.117,0.758,0.495,1,16,0.465088,2065
212,ramp,8.287925,8.311770,23.844,94.205,1.446,1.011,12.940,1,16,0.469238,18883
213,ramp,8.312208,8.332674,20.466,6.961,1.082,0.770,11.886,1,16,0.398926,14677
214,ramp,8.333105,8.338377,5.272,4.169,0.566,0.387,0.474,1,16,0.597656,8449
215,ramp,8.338659,8.341108,2.449,1.843,0.180,0.169,0.458,1,16,0.513672,3624
216,ramp,8.341379,8.364955,23.576,4.324,0.615,0.447,18.277,1,16,0.667480,9107
217,ramp,8.365364,8.373551,8.187,4.258,0.595,0.413,3.169,1,16,0.441650,8753
218,ramp,8.374123,8.381300,7.176,5.802,0.834,0.625,0.392,1,16,0.320068,12007
219,ramp,8.381570,8.386954,5.384,4.184,0.596,0.415,0.379,1,16,0.472168,8766
220,ramp,8.408872,8.411518,2.646,21.781,1.225,0.976,0.482,1,16,1.200195,7472
221,ramp,8.459397,8.469915,10.518,55.737,1.297,0.936,0.360,1,16,1.513672,17425
222,ramp,8.470166,8.500059,29.893,5.849,0.894,0.644,22.660,1,16,0.799316,12461
223,ramp,8.500483,8.509473,8.990,6.692,1.043,0.744,0.827,1,16,1.395508,14305
224,ramp,8.509898,8.512083,2.184,1.353,0.133,0.567,0.453,1,16,0.506836,2468
225,ramp,8.580134,8.590164,10.029,75.399,1.222,0.871,0.515,1,16,0.442871,16445
226,ramp,8.605835,8.608498,2.664,16.536,0.153,0.974,0.541,1,16,0.939453,2639
227,ramp,8.608765,8.613052,4.287,3.249,0.402,0.295,0.525,1,16,0.410400,6749
228,ramp,8.652851,8.663427,10.577,47.610,1.308,0.934,0.432,1,16,0.251709,17444
229,ramp,8.663681,8.689744,26.063,4.491,0.627,0.473,20.609,1,16,0.337158,9478
230,ramp,8.690197,8.698554,8.357,6.570,0.993,0.714,0.404,1,16,1.248047,13730
231,ramp,8.698800,8.701022,2.222,1.621,0.154,0.161,0.460,1,16,0.821777,3208
232,ramp,8.744362,8.755215,10.853,51.377,1.341,0.959,0.440,1,16,0.246094,17841
233,ramp,8.886080,8.900985,14.905,141.985,1.897,1.377,0.420,1,16,1.705078,24619
234,ramp,8.901217,8.917897,16.680,1.324,0.148,14.280,1.083,1,16,0.440674,2580
235,ramp,8.918157,8.928306,10.149,6.404,0.988,0.711,2.140,1,16,0.352539,13666
236,ramp,8.928802,8.936394,7.592,6.060,0.913,0.656,0.363,1,16,0.858887,12604
237,ramp,8.936634,8.938731,2.096,1.418,0.151,0.262,0.439,1,16,0.496338,2748
238,ramp,8.938977,8.944353,5.376,4.209,0.599,0.419,0.332,1,16,0.899414,8848
239,ramp,8.976289,8.987071,10.782,40.001,1.340,0.961,0.353,1,16,0.395020,17952
240,ramp,9.181107,9.224459,43.352,208.500,2.481,1.807,24.516,1,16,1.123047,31991
241,ramp,9.224897,9.238391,13.494,10.473,1.686,1.227,0.422,1,16,0.291016,22432
242,ramp,9.238674,9.240910,2.236,0.484,0.495,0.999,0.468,1,16,0.901855,642
243,ramp,9.241155,9.262716,21.562,6.875,13.198,1.256,0.410,1,16,1.337891,14700
244,ramp,9.262961,9.265361,2.400,1.851,0.168,0.170,0.387,1,16,0.986328,3701
245,ramp,9.265626,9.275655,10.029,7.753,1.235,0.885,0.348,1,16,0.277588,16620
246,ramp,9.313143,9.324975,11.833,46.334,1.493,1.059,0.370,1,16,0.463867,19668
247,ramp,9.325216,9.327737,2.522,1.979,0.184,0.180,0.350,1,16,0.374512,3996
248,ramp,9.363498,9.388713,25.215,44.394,1.483,1.044,13.956,1,16,1.097656,19233
249,ramp,9.389181,9.391370,2.189,1.402,0.145,0.512,0.477,1,16,1.095703,2369
250,ramp,9.391582,9.394927,3.345,2.632,0.265,0.226,0.368,1,16,0.720215,5482
251,ramp,9.453158,9.467300,14.142,68.730,1.765,1.296,0.419,1,16,0.293213,23415
252,ramp,9.467552,9.474629,7.078,5.498,0.796,0.607,0.358,1,16,0.648438,11690
253,ramp,9.517811,9.531001,13.191,52.291,1.537,1.103,1.369,1,16,1.275391,20324
254,ramp,9.531307,9.533490,2.183,1.057,0.126,0.745,0.468,1,16,1.140625,1901
255,ramp,9.698658,9.754281,55.622,181.820,2.913,2.156,33.733,1,16,1.333984,36906
256,ramp,9.754881,9.760230,5.349,4.435,0.589,0.420,0.369,1,16,1.026367,8888
257,ramp,9.760501,9.762917,2.416,1.905,0.195,0.180,0.338,1,16,0.681641,3926
258,ramp,9.763209,9.765987,2.778,2.253,0.218,0.203,0.331,1,16,0.707031,4478
259,ramp,9.766213,9.773944,7.732,5.964,0.920,0.662,0.349,1,16,0.558594,12730
260,ramp,9.774175,9.776359,2.184,1.155,0.133,0.530,0.527,1,16,0.739746,2199
261,ramp,9.776618,9.779212,2.594,2.038,0.213,0.182,0.347,1,16,0.333252,4213
262,ramp,9.779438,9.820037,40.599,10.163,1.656,1.194,27.697,1,16,0.927734,22051
263,ramp,9.820495,9.826856,6.362,5.085,0.714,0.535,0.378,1,16,0.560547,10569
264,ramp,9.827126,9.840409,13.283,10.218,1.672,1.210,0.384,1,16,0.998047,22013
265,ramp,9.840658,9.842748,2.090,0.845,0.106,0.858,0.460,1,16,0.851074,1477
266,ramp,9.912576,9.922160,9.584,76.928,1.165,0.830,0.419,1,16,0.769531,15834
267,ramp,10.009276,10.023677,14.401,97.781,1.805,1.343,0.502,1,16,0.524414,23928
268,ramp,10.023987,10.042906,18.919,5.216,11.935,1.117,0.877,1,16,0.550293,10970
269,ramp,10.043157,10.045141,1.984,0.947,0.110,0.652,0.453,1,16,0.601074,1717
270,ramp,10.045378,10.059171,13.793,6.196,0.968,0.686,6.054,1,16,0.833984,13227
271,ramp,10.059618,10.062257,2.639,2.287,0.187,0.184,0.339,1,16,0.520996,4279
272,ramp,10.066211,10.072516,6.304,8.550,0.702,0.525,0.375,1,16,0.615234,10370
273,ramp,10.072786,10.076715,3.928,3.136,0.375,0.276,0.342,1,16,0.567871,6467
274,ramp,10.148881,10.172906,24.025,79.201,1.158,0.817,14.907,1,16,1.229492,15667
275,ramp,10.173562,10.181804,8.242,6.671,0.999,0.712,0.358,1,16,0.791992,13705
276,ramp,10.182044,10.184179,2.135,0.731,0.110,1.016,0.449,1,16,0.910156,1255
277,ramp,10.267556,10.286773,19.217,92.692,1.582,1.136,7.075,1,16,0.729492,20840
278,ramp,10.287261,10.296279,9.018,7.122,1.103,0.783,0.400,1,16,0.392822,15013
279,ramp,10.296525,10.298687,2.163,1.096,0.122,0.618,0.497,1,16,0.857422,2056
280,ramp,10.298995,10.304195,5.200,4.093,0.571,0.397,0.355,1,16,0.813965,8523
281,ramp,10.345648,10.363844,18.196,50.274,1.488,1.038,6.717,1,16,0.808105,19539
282,ramp,10.423628,10.436919,13.291,69.501,1.667,1.202,0.526,1,16,1.191406,22123
283,ramp,10.437256,10.469100,31.843,3.417,0.414,0.310,27.944,1,16,1.051758,7023
284,ramp,10.469463,10.482926,13.463,8.058,1.274,0.934,3.397,1,16,0.645508,17184
