step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
95,ramp,4.999444,5.023585,24.141,9.612,1.583,1.158,11.975,1,16,1.350586,20847
96,ramp,5.024042,5.031041,6.999,5.540,0.775,0.573,0.439,1,16,0.879883,11469
97,ramp,5.031312,5.067585,36.273,7.940,1.252,0.908,26.270,1,16,0.843750,17012
98,ramp,5.067971,5.081726,13.755,6.066,0.915,0.649,6.410,1,16,1.207031,12713
99,ramp,5.082015,5.089145,7.130,5.151,0.728,0.847,0.611,1,16,0.593262,10880
100,ramp,5.089389,5.091670,2.281,0.886,0.109,0.929,0.522,1,16,1.501953,1606
101,ramp,5.092005,5.103628,11.622,5.562,0.812,0.594,4.770,1,16,1.412109,11814
102,ramp,5.104059,5.129544,25.485,7.393,1.159,0.834,16.341,1,16,0.332520,15667
103,ramp,5.130101,5.136545,6.444,5.065,0.688,0.504,0.572,1,16,1.146484,10305
104,ramp,5.286329,5.309591,23.262,158.504,1.471,1.026,11.900,1,16,1.209961,19386
105,ramp,5.310058,5.315357,5.300,4.267,0.561,0.409,0.435,1,16,1.196289,8681
106,ramp,5.315641,5.318458,2.816,2.246,0.210,0.195,0.375,1,16,1.054688,4493
107,ramp,5.318718,5.320729,2.011,1.247,0.126,0.385,0.444,1,16,0.354492,2347
108,ramp,5.320956,5.322862,1.905,0.781,0.102,0.750,0.436,1,16,0.300781,1386
109,ramp,5.323088,5.366197,43.109,5.285,0.762,0.552,36.628,1,16,0.451416,11253
110,ramp,5.366732,5.373160,6.428,4.732,0.650,0.475,0.880,1,16,0.615723,9691
111,ramp,5.373642,5.380472,6.830,5.405,0.758,0.551,0.452,1,16,1.208984,11161
112,ramp,5.404033,5.407619,3.587,23.426,1.784,1.389,0.468,1,16,1.049805,17981
113,ramp,5.407906,5.412839,4.932,3.842,0.501,0.356,0.438,1,16,0.911621,7989
114,ramp,5.413127,5.418193,5.066,3.873,0.510,0.360,0.532,1,16,0.496826,8049
115,ramp,5.418489,5.455016,36.528,5.295,0.750,0.553,30.050,1,16,0.704102,11153
116,ramp,5.455626,5.468477,12.850,6.680,0.992,0.711,4.925,1,16,1.250000,13705
117,ramp,5.510746,5.518548,7.803,47.846,0.919,0.650,0.558,1,16,0.560547,12768
118,ramp,5.548238,5.556201,7.964,35.410,0.939,0.675,0.537,1,16,0.531250,12978
119,ramp,5.556502,5.558799,2.297,1.457,0.152,0.389,0.516,1,16,0.538574,2744
120,ramp,5.753769,5.772237,18.467,205.081,1.669,1.233,5.370,1,16,1.191406,22521
121,ramp,5.772648,5.779584,6.936,5.523,0.778,0.576,0.377,1,16,0.897461,11521
122,ramp,5.779860,5.787793,7.933,6.152,0.949,0.674,0.361,1,16,0.835449,13059
123,ramp,5.788085,5.794217,6.132,4.104,0.554,1.211,0.477,1,16,0.575195,8559
124,ramp,5.794457,5.805335,10.878,8.307,1.323,0.938,0.476,1,16,0.819336,17863
125,ramp,5.805618,5.814340,8.722,1.340,0.150,0.650,6.757,1,16,1.012695,2524
126,ramp,5.814711,5.817019,2.308,1.781,0.183,0.168,0.439,1,16,0.578125,3447
127,ramp,5.852955,5.868174,15.218,41.798,0.954,0.686,7.632,1,16,0.698242,13187
128,ramp,5.868629,5.870979,2.350,1.548,0.158,0.441,0.512,1,16,0.470459,2933
129,ramp,5.871234,5.873268,2.033,0.791,0.103,0.799,0.524,1,16,1.027344,1343
130,ramp,5.951762,5.962631,10.869,86.518,1.320,0.945,0.499,1,16,0.784180,17907
131,ramp,5.962911,5.965043,2.132,1.650,0.159,0.161,0.360,1,16,0.427002,3208
132,ramp,5.965289,5.967362,2.074,1.102,0.116,0.573,0.462,1,16,0.361816,2024
133,ramp,5.967642,5.973836,6.194,4.664,0.650,0.482,0.592,1,16,0.694824,9848
134,ramp,5.974151,5.976523,2.372,1.885,0.155,0.173,0.391,1,16,0.543457,3647
135,ramp,5.976771,5.979753,2.983,2.334,0.227,0.212,0.387,1,16,1.031250,4754
136,ramp,6.002956,6.010419,7.463,27.928,0.718,0.535,1.329,1,16,0.431885,10750
137,ramp,6.247359,6.259619,12.261,245.906,1.534,1.107,0.520,1,16,0.665039,20196
138,ramp,6.259883,6.300739,40.856,6.270,0.961,0.696,33.062,1,16,0.726074,13380
139,ramp,6.301216,6.310336,9.120,7.088,1.077,0.763,0.549,1,16,0.875488,14798
140,ramp,6.310601,6.336378,25.777,5.202,0.746,0.545,19.451,1,16,0.812988,11029
141,ramp,6.336880,6.343553,6.673,5.259,0.718,0.529,0.527,1,16,0.767090,10769
142,ramp,6.343842,6.363241,19.399,9.238,1.500,7.392,1.460,1,16,0.587891,19832
143,ramp,6.363619,6.368970,5.351,4.210,0.552,0.406,0.454,1,16,0.647949,8628
144,ramp,6.519739,6.549528,29.789,160.081,1.579,1.155,17.612,1,16,0.722656,20840
145,ramp,6.549976,6.562257,12.281,9.506,1.520,1.107,0.481,1,16,0.439209,20228
