step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step_per_rank,world_size,loss
155,ramp,53.852777,54.120986,268.208,18.312,89.234,158.215,2.420,256,2,0.657134
156,ramp,54.121036,54.387476,266.439,15.275,89.407,159.328,2.402,256,2,0.631581
157,ramp,54.387524,54.654365,266.841,15.671,89.156,159.617,2.370,256,2,0.655816
158,ramp,54.654411,54.921914,267.502,17.361,89.012,158.729,2.374,256,2,0.601954
159,ramp,54.921962,55.188775,266.813,15.740,89.194,159.496,2.356,256,2,0.623525
160,ramp,55.188822,55.454187,265.364,15.190,88.999,158.758,2.390,256,2,0.609942
161,ramp,55.454235,55.720596,266.362,15.314,89.279,159.370,2.370,256,2,0.619029
162,ramp,55.720642,55.985452,264.810,15.225,89.134,158.041,2.384,256,2,0.623362
163,ramp,55.985498,56.250211,264.713,15.061,88.948,158.310,2.367,256,2,0.618676
164,ramp,56.250258,56.516862,266.604,15.327,89.219,159.676,2.354,256,2,0.650964
165,ramp,56.516906,56.782356,265.449,14.975,88.972,159.106,2.371,256,2,0.577032
166,ramp,56.782402,57.048327,265.925,15.432,89.246,158.824,2.397,256,2,0.621684
167,ramp,57.048373,57.313651,265.277,15.528,89.188,158.159,2.376,256,2,0.633035
168,ramp,57.313700,57.579559,265.859,15.493,89.302,158.645,2.390,256,2,0.629961
169,ramp,57.579603,57.845090,265.486,15.365,89.103,158.639,2.353,256,2,0.619141
170,ramp,57.845135,58.112957,267.822,17.681,89.103,158.630,2.382,256,2,0.618509
171,ramp,58.113002,58.378469,265.466,15.433,89.044,158.598,2.365,256,2,0.607430
172,ramp,58.378515,58.645850,267.336,16.564,89.153,159.247,2.344,256,2,0.661438
173,ramp,58.645897,58.911600,265.703,15.077,89.064,159.149,2.385,256,2,0.623792
174,ramp,58.911645,59.178121,266.476,15.756,89.116,159.203,2.375,256,2,0.596607
175,ramp,59.178170,59.444508,266.337,15.048,89.285,159.554,2.425,256,2,0.538271
176,ramp,59.444557,59.710642,266.086,15.077,89.252,159.370,2.360,256,2,0.755651
177,ramp,59.710689,59.976507,265.818,15.493,89.207,158.743,2.349,256,2,0.625479
178,ramp,59.976553,60.242336,265.783,15.191,89.120,159.058,2.388,256,2,0.617115
179,ramp,60.242381,60.510552,268.171,17.771,89.086,158.898,2.389,256,2,0.642671
180,ramp,60.510600,60.776827,266.227,15.565,89.151,159.079,2.404,256,2,0.607933
181,ramp,60.776873,61.042941,266.068,15.353,89.288,158.876,2.525,256,2,0.621148
182,ramp,61.042997,61.312083,269.086,18.091,89.491,159.099,2.378,256,2,0.616449
183,ramp,61.312130,61.577491,265.361,15.528,89.124,158.290,2.393,256,2,0.716307
184,ramp,61.577540,61.843985,266.446,15.154,89.275,159.609,2.372,256,2,0.630814
185,ramp,61.844034,62.110726,266.692,15.263,89.148,159.842,2.409,256,2,0.567365
186,ramp,62.110772,62.376971,266.199,15.209,89.242,159.338,2.385,256,2,0.615191
187,ramp,62.377019,62.643182,266.163,15.627,89.156,158.953,2.400,256,2,0.663733
188,ramp,62.643247,62.909363,266.116,15.334,89.225,159.171,2.358,256,2,0.552861
189,ramp,62.909409,63.177388,267.979,15.678,89.035,160.869,2.371,256,2,0.755890
190,ramp,63.177433,63.443356,265.922,16.029,89.120,158.342,2.386,256,2,1.048054
191,ramp,63.443403,63.709479,266.076,15.798,89.159,158.708,2.384,256,2,0.553703
192,ramp,63.709525,63.975368,265.842,15.323,89.170,159.000,2.324,256,2,0.617097
193,ramp,63.975413,64.241969,266.556,15.620,89.187,159.373,2.350,256,2,0.582343
194,ramp,64.242014,64.508845,266.831,17.283,89.092,158.067,2.363,256,2,0.589540
195,ramp,64.508889,64.774380,265.491,15.319,89.183,158.588,2.375,256,2,0.678849
196,ramp,64.774423,65.040187,265.764,15.608,89.077,158.684,2.369,256,2,0.577516
197,ramp,65.040233,65.305857,265.624,15.410,89.157,158.674,2.357,256,2,0.622309
198,ramp,65.305903,65.572327,266.423,15.381,89.055,159.608,2.353,256,2,0.624899
199,ramp,65.572373,65.838533,266.160,15.385,89.105,159.280,2.362,256,2,0.589723
200,ramp,65.838579,66.104465,265.886,15.181,89.212,159.108,2.358,256,2,0.516507
201,ramp,66.104583,66.372531,267.948,16.079,89.078,160.411,2.351,256,2,0.691437
202,ramp,66.372575,66.639800,267.224,15.855,89.141,159.843,2.358,256,2,0.892811
203,ramp,66.639843,66.905569,265.726,15.759,89.089,158.480,2.371,256,2,0.522096
204,ramp,66.905615,67.171522,265.907,15.582,89.224,158.681,2.394,256,2,0.571845
205,ramp,67.171568,67.437842,266.274,15.573,89.078,159.215,2.384,256,2,0.545592
206,ramp,67.437888,67.703079,265.191,15.212,89.199,158.376,2.378,256,2,0.562653
207,ramp,67.703124,67.970039,266.915,16.111,89.181,159.243,2.353,256,2,0.557171
208,ramp,67.970086,68.236834,266.747,15.357,89.117,159.874,2.373,256,2,0.581734
209,ramp,68.236880,68.503227,266.348,15.171,89.141,159.633,2.376,256,2,0.552690
210,ramp,68.503275,68.770075,266.801,16.124,89.207,159.078,2.362,256,2,0.561293
211,ramp,68.770120,69.035560,265.440,15.108,89.108,158.777,2.420,256,2,0.631771
212,ramp,69.035607,69.301886,266.279,15.682,89.331,158.880,2.359,256,2,0.576535
213,ramp,69.301932,69.568380,266.447,15.544,89.366,159.173,2.339,256,2,0.578250
214,ramp,69.568425,69.833619,265.194,15.233,89.191,158.389,2.353,256,2,0.664957
215,ramp,69.833666,70.101124,267.457,15.959,89.309,159.795,2.367,256,2,0.649894
216,ramp,70.101169,70.367511,266.342,15.712,89.165,159.073,2.366,256,2,0.545944
217,ramp,70.367557,70.634374,266.817,15.799,89.322,159.292,2.376,256,2,0.553788
218,ramp,70.634421,70.900086,265.665,15.091,89.192,158.982,2.374,256,2,0.560983
219,ramp,70.900131,71.168759,268.627,18.338,89.151,158.711,2.402,256,2,1.054223
220,ramp,71.168804,71.435022,266.219,15.354,89.205,159.190,2.443,256,2,0.595493
221,ramp,71.435068,71.702302,267.234,15.280,89.380,160.148,2.399,256,2,0.563769
222,ramp,71.702350,71.968805,266.455,15.261,89.289,159.506,2.372,256,2,0.562375
223,ramp,71.968850,72.236023,267.173,15.605,89.293,159.880,2.370,256,2,0.627482
224,ramp,72.236070,72.502010,265.940,15.207,89.326,158.957,2.425,256,2,0.566774
225,ramp,72.502057,72.768986,266.928,16.397,89.419,158.658,2.429,256,2,0.554823
226,ramp,72.769035,73.035784,266.748,15.615,89.392,159.317,2.398,256,2,0.658053
227,ramp,73.035831,73.302008,266.177,15.633,89.267,158.874,2.377,256,2,0.563230
228,ramp,73.302056,73.568417,266.361,14.998,89.381,159.573,2.383,256,2,0.507464
229,ramp,73.568466,73.834335,265.868,15.189,89.395,158.885,2.374,256,2,0.597137
230,ramp,73.834382,74.101262,266.880,16.065,89.344,159.059,2.385,256,2,0.517049
231,ramp,74.101309,74.366632,265.323,15.177,89.198,158.557,2.365,256,2,0.552761
232,ramp,74.366678,74.633065,266.387,15.334,89.434,159.201,2.391,256,2,0.668684
233,ramp,74.633113,74.900124,267.011,15.381,89.385,159.841,2.377,256,2,0.592276
234,ramp,74.900171,75.167164,266.993,15.580,89.265,159.726,2.396,256,2,0.548315
235,ramp,75.167211,75.433645,266.434,15.213,89.364,159.432,2.399,256,2,0.527222
236,ramp,75.433695,75.700158,266.463,15.526,89.246,159.261,2.404,256,2,0.485331
237,ramp,75.700205,75.967384,267.179,15.267,89.305,160.193,2.389,256,2,0.509572
238,ramp,75.967430,76.233263,265.833,15.334,89.236,158.867,2.367,256,2,0.551410
239,ramp,76.233310,76.499173,265.863,15.207,89.279,158.976,2.373,256,2,0.553261
240,ramp,76.499218,76.765530,266.313,15.466,89.262,159.181,2.379,256,2,0.456363
241,ramp,76.765583,77.031631,266.049,15.209,89.277,159.100,2.436,256,2,0.478343
242,ramp,77.031678,77.296828,265.151,15.040,89.396,158.284,2.404,256,2,0.522531
243,ramp,77.296876,77.562208,265.333,15.262,89.217,158.466,2.360,256,2,0.498688
244,ramp,77.562255,77.828061,265.806,15.513,89.235,158.643,2.388,256,2,0.506705
245,ramp,77.828107,78.094488,266.381,15.443,89.304,159.233,2.374,256,2,0.632911
246,ramp,78.094535,78.360697,266.162,15.229,89.409,159.133,2.364,256,2,0.484302
247,ramp,78.360744,78.626618,265.875,15.622,89.277,158.616,2.335,256,2,0.525721
248,ramp,78.626664,78.892377,265.713,15.349,89.243,158.733,2.361,256,2,0.509428
249,ramp,78.892422,79.158252,265.830,15.498,89.307,158.617,2.382,256,2,0.532241
250,ramp,79.158297,79.424494,266.196,15.061,89.386,159.114,2.607,256,2,0.596739
251,ramp,79.424622,79.691073,266.451,15.397,89.404,159.366,2.253,256,2,0.482018
252,ramp,79.691120,79.957091,265.972,15.191,89.169,159.365,2.221,256,2,0.528956
253,ramp,79.957134,80.224759,267.626,16.802,89.011,159.522,2.265,256,2,0.541429
254,ramp,80.224803,80.491835,267.031,16.124,89.061,159.605,2.216,256,2,0.480050
255,ramp,80.491877,80.757288,265.410,15.069,89.100,158.943,2.272,256,2,0.479649
256,ramp,80.757334,81.024028,266.695,15.763,89.124,159.575,2.207,256,2,0.536062
257,ramp,81.024072,81.291439,267.367,15.882,89.084,160.120,2.255,256,2,0.568103
258,ramp,81.291483,81.558201,266.718,15.337,89.142,159.991,2.222,256,2,0.482202
259,ramp,81.558243,81.823672,265.429,15.141,89.105,158.872,2.284,256,2,0.746961
260,ramp,81.823719,82.090973,267.254,15.900,89.178,159.890,2.258,256,2,0.527154
261,ramp,82.091016,82.356266,265.250,15.481,89.077,158.438,2.228,256,2,0.443697
262,ramp,82.356309,82.623288,266.979,15.795,89.096,159.833,2.227,256,2,0.484164
263,ramp,82.623331,82.888782,265.451,15.237,89.062,158.863,2.262,256,2,0.631567
264,ramp,82.888829,83.155015,266.186,15.512,89.244,159.142,2.262,256,2,0.481107
265,ramp,83.155058,83.421441,266.384,15.774,89.114,159.245,2.225,256,2,0.436300
266,ramp,83.421483,83.686547,265.064,15.042,89.082,158.675,2.239,256,2,0.438430
267,ramp,83.686591,83.951736,265.146,15.173,89.102,158.627,2.218,256,2,0.522160
268,ramp,83.951779,84.217589,265.809,15.145,89.097,159.269,2.272,256,2,0.424216
269,ramp,84.217634,84.484259,266.625,15.588,89.106,159.677,2.226,256,2,0.455487
270,ramp,84.484304,84.751623,267.319,15.757,89.210,160.075,2.251,256,2,0.492712
271,ramp,84.751667,85.017492,265.825,15.532,89.136,158.895,2.236,256,2,0.539723
272,ramp,85.017535,85.283522,265.986,15.782,89.134,158.800,2.235,256,2,0.469041
273,ramp,85.283567,85.549294,265.727,15.425,89.253,158.802,2.220,256,2,0.533165
274,ramp,85.549337,85.815721,266.385,15.249,89.208,159.628,2.273,256,2,0.605030
275,ramp,85.815766,86.080707,264.941,14.865,89.096,158.732,2.222,256,2,0.472733
276,ramp,86.080750,86.347027,266.277,14.919,89.050,160.065,2.219,256,2,0.455054
277,ramp,86.347071,86.613964,266.893,15.954,89.093,159.569,2.249,256,2,0.431046
278,ramp,86.614022,86.879162,265.139,14.911,89.147,158.795,2.251,256,2,0.462684
279,ramp,86.879205,87.146422,267.217,15.990,89.194,159.778,2.228,256,2,0.484647
280,ramp,87.146468,87.411859,265.391,15.297,89.099,158.743,2.226,256,2,0.536457
281,ramp,87.411902,87.678366,266.465,15.398,89.046,159.757,2.237,256,2,0.483933
282,ramp,87.678408,87.944444,266.036,15.089,89.130,159.579,2.211,256,2,0.462467
283,ramp,87.944485,88.210054,265.569,15.386,89.118,158.823,2.216,256,2,0.450440
284,ramp,88.210098,88.475426,265.328,15.378,89.091,158.605,2.227,256,2,0.514739
285,ramp,88.475468,88.741415,265.947,15.669,89.035,158.966,2.250,256,2,0.469794
286,ramp,88.741458,89.006594,265.136,15.223,89.047,158.625,2.215,256,2,0.510839
287,ramp,89.006636,89.271744,265.108,15.278,89.111,158.466,2.228,256,2,1.047223
288,ramp,89.271787,89.536508,264.722,15.291,89.011,158.170,2.224,256,2,0.466498
289,ramp,89.536551,89.803224,266.673,16.733,89.058,158.592,2.263,256,2,0.509456
290,ramp,89.803271,90.068148,264.876,14.973,89.123,158.509,2.244,256,2,0.511273
291,ramp,90.068194,90.335250,267.056,15.541,89.139,160.114,2.235,256,2,0.486313
292,ramp,90.335294,90.602136,266.842,15.772,89.052,159.762,2.230,256,2,0.484616
293,ramp,90.602180,90.867103,264.923,15.072,88.931,158.658,2.235,256,2,0.544908
294,ramp,90.867148,91.132556,265.408,15.577,89.037,158.537,2.231,256,2,0.516790
295,ramp,91.132599,91.398098,265.499,15.759,89.146,158.358,2.210,256,2,0.483489
296,ramp,91.398141,91.663375,265.234,15.250,89.112,158.539,2.306,256,2,0.537353
297,ramp,91.663423,91.930023,266.600,15.820,89.226,159.304,2.222,256,2,0.473451
298,ramp,91.930068,92.196090,266.022,15.314,89.020,159.293,2.367,256,2,0.496703
299,ramp,92.196141,92.462390,266.249,15.350,89.236,159.418,2.217,256,2,0.528477
300,ramp,92.462437,92.729546,267.110,15.845,89.145,159.837,2.247,256,2,0.532207
301,ramp,92.729761,92.995471,265.710,15.323,89.034,159.097,2.226,256,2,0.517680
302,ramp,92.995515,93.260487,264.972,15.297,89.040,158.349,2.260,256,2,0.469477
303,ramp,93.260532,93.526590,266.058,15.588,89.126,159.099,2.219,256,2,0.512484
304,ramp,93.526634,93.793011,266.377,15.605,89.128,159.380,2.238,256,2,0.562389
