slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,1,410.145119,3413,256,14.795,12685.800,0.655,503.079,13204.329,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.tiff,2785699
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,0,1,423.349589,4311,256,19.153,16090.098,0.760,1368.762,17478.773,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8.tiff,2988533
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,1,440.828507,2205,256,9.835,8176.080,0.576,299.488,8485.980,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.tiff,1543399
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,0,1,449.314650,1988,256,9.362,7511.005,0.599,292.060,7813.026,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB.tiff,1421216
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,1,457.127813,3734,256,18.742,13914.508,0.600,535.696,14469.547,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.tiff,2205468
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,0,1,471.597740,1606,256,8.521,6045.905,0.563,292.097,6347.086,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057.tiff,1281411
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,1,477.944968,2024,256,9.333,7494.066,0.589,853.064,8357.052,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.tiff,1651862
17,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,0,1,486.302160,4478,256,21.514,16755.898,0.584,825.423,17603.418,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C.tiff,3429148
18,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,0,1,503.905724,10735,256,43.604,39877.699,0.738,2530.446,42452.487,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD.tiff,6669852
19,TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,0,1,546.358377,6236,256,31.192,23166.280,0.587,1596.647,24794.705,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F.tiff,3672590
