slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
22,TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD,0,1,679.342787,9856,256,40.341,37131.818,0.618,1746.601,38919.378,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD.tiff,6579945
23,TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468,0,1,718.262318,14876,256,61.970,56069.693,1.098,2989.405,59122.167,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468.tiff,9514282
24,TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9,0,1,777.384639,5213,256,27.887,19637.572,0.630,929.932,20596.022,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9.tiff,3364255
25,TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8,0,1,797.980802,13502,256,52.718,50718.251,0.970,3009.566,53781.504,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8.tiff,8339273
26,TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,0,1,851.762461,10086,256,41.157,38339.825,0.653,1657.390,40039.025,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38.tiff,5674648
27,TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF,0,1,891.801635,22889,256,92.551,84396.200,1.611,3001.738,87492.099,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF.tiff,11767097
28,TCGA-B6-A0WW-01Z-00-DX1.64048633-1D1A-4074-8C50-7641159355DB,0,1,979.293890,25271,256,111.737,95023.224,1.807,2520.717,97657.485,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-B6-A0WW-01Z-00-DX1.64048633-1D1A-4074-8C50-7641159355DB.tiff,12344603
29,TCGA-BH-A0BS-01Z-00-DX1.FEE32127-4D0B-4560-A39C-4EAA5B189B70,0,1,1076.951548,14377,256,54.795,54347.565,0.989,2502.313,56905.663,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-BH-A0BS-01Z-00-DX1.FEE32127-4D0B-4560-A39C-4EAA5B189B70.tiff,9862472
30,TCGA-BH-A0DX-01Z-00-DX1.45C27E71-9A0A-400E-93A9-5CE7780F3C5E,0,1,1133.857363,5319,256,20.898,20044.519,0.654,2246.692,22312.764,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-BH-A0DX-01Z-00-DX1.45C27E71-9A0A-400E-93A9-5CE7780F3C5E.tiff,5416531
31,TCGA-BH-A0E7-01Z-00-DX1.7FEE54C4-3795-403C-85B9-FF932BE56788,0,1,1156.170270,7912,256,31.822,29273.831,0.736,1867.131,31173.520,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-BH-A0E7-01Z-00-DX1.7FEE54C4-3795-403C-85B9-FF932BE56788.tiff,6406713
