slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,1,496.479013,3413,256,15.270,15514.636,0.634,605.554,16136.095,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.tiff,2657329
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,0,1,512.615297,4311,256,20.244,19633.688,0.675,1368.678,21023.284,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8.tiff,3379384
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,1,533.638766,2205,256,11.639,10125.071,0.776,300.647,10438.133,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.tiff,1733464
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,0,1,544.077111,1988,256,10.961,9393.983,0.731,288.477,9694.152,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB.tiff,1507026
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,1,553.771457,3734,256,18.515,17405.762,0.665,521.353,17946.294,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.tiff,2751444
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,0,1,571.718048,1606,256,8.707,7518.831,0.628,279.623,7807.789,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057.tiff,1416717
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,1,579.526014,2024,256,11.240,9256.326,0.669,855.888,10124.123,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.tiff,1914579
17,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,0,1,589.650321,4478,256,20.445,20199.376,0.579,821.968,21042.368,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C.tiff,3376422
18,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,0,1,610.692907,10735,256,42.144,48118.412,0.885,2520.826,50682.267,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD.tiff,7166473
19,TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,0,1,661.375395,6236,256,24.160,28376.882,0.648,1599.827,30001.517,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F.tiff,4066510
