step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
98,ramp,5.138595,5.140738,2.143,1.246,0.124,0.625,0.462,1,16,0.625000,2112
99,ramp,5.187470,5.196975,9.504,51.956,0.797,0.588,2.804,1,16,0.856934,11653
100,ramp,5.237432,5.246300,8.868,46.952,1.083,0.766,0.383,1,16,0.389404,14693
101,ramp,5.246636,5.270077,23.441,2.991,0.350,0.260,19.979,1,16,0.504883,6150
102,ramp,5.270649,5.273378,2.730,1.918,0.181,0.621,0.476,1,16,0.834961,3310
103,ramp,5.273634,5.280940,7.306,5.665,0.858,0.610,0.360,1,16,0.907715,12046
104,ramp,5.311974,5.320944,8.970,37.681,1.101,0.776,0.378,1,16,0.864258,14885
105,ramp,5.353838,5.367451,13.613,39.359,1.057,0.751,5.192,1,16,1.071289,14408
106,ramp,5.367966,5.369989,2.023,1.642,0.164,0.161,0.438,1,16,0.676270,2958
107,ramp,5.397353,5.403906,6.552,32.207,0.746,0.561,0.336,1,16,0.987793,11029
108,ramp,5.404191,5.406825,2.634,2.134,0.201,0.187,0.329,1,16,0.512207,4235
109,ramp,5.424030,5.429768,5.738,21.409,0.647,0.480,0.341,1,16,0.449219,9691
110,ramp,5.450425,5.455929,5.504,24.677,0.610,0.453,0.354,1,16,0.520508,9123
111,ramp,5.489004,5.496667,7.663,38.736,0.908,0.648,0.375,1,16,0.454102,12736
112,ramp,5.533049,5.542587,9.538,43.468,1.185,0.851,0.347,1,16,0.545898,16013
113,ramp,5.542830,5.545642,2.811,0.708,0.422,1.314,0.545,1,16,0.587402,1185
114,ramp,5.645967,5.655825,9.858,107.459,1.197,0.854,0.597,1,16,0.980469,16147
115,ramp,5.656204,5.669555,13.352,6.750,1.026,5.113,0.736,1,16,0.614258,14248
116,ramp,5.669937,5.677657,7.720,5.943,0.891,0.631,0.542,1,16,0.619629,12455
117,ramp,5.678012,5.681699,3.687,2.917,0.261,0.246,0.523,1,16,0.883301,5860
118,ramp,5.682013,5.684594,2.581,0.899,0.271,0.915,0.713,1,16,0.659668,1536
119,ramp,5.707416,5.713970,6.555,27.615,0.732,0.544,0.397,1,16,0.826172,10757
120,ramp,5.766168,5.781900,15.732,58.275,0.983,0.715,7.734,1,16,0.762695,13676
121,ramp,5.838716,5.849186,10.471,64.520,1.305,0.925,0.425,1,16,0.401855,17444
122,ramp,5.952732,5.979999,27.267,115.344,2.005,1.470,11.891,1,16,0.937988,26168
123,ramp,5.980462,5.984680,4.218,3.493,0.435,0.314,0.357,1,16,0.518555,7157
124,ramp,5.984979,5.996328,11.349,1.149,8.589,1.367,0.465,1,16,0.529297,2056
125,ramp,6.070233,6.089596,19.363,87.142,2.276,1.635,2.095,1,16,0.533691,29428
126,ramp,6.090059,6.093054,2.995,2.600,0.217,0.220,0.336,1,16,0.570312,5034
127,ramp,6.093296,6.115545,22.248,5.587,0.816,0.600,15.350,1,16,1.059570,11891
128,ramp,6.115979,6.118243,2.263,1.443,0.148,0.584,0.444,1,16,0.708008,2484
129,ramp,6.118475,6.122398,3.923,3.104,0.366,0.279,0.341,1,16,0.990234,6467
130,ramp,6.122646,6.128871,6.225,4.866,0.685,0.517,0.337,1,16,0.901367,10305
131,ramp,6.163493,6.181749,18.256,42.991,1.404,0.987,7.341,1,16,0.543457,18548
132,ramp,6.182187,6.186644,4.458,3.589,0.447,0.325,0.433,1,16,0.974609,7296
133,ramp,6.186923,6.189520,2.597,2.016,0.178,0.183,0.418,1,16,0.522461,4027
134,ramp,6.189787,6.195777,5.990,4.597,0.644,0.483,0.452,1,16,0.748535,9711
135,ramp,6.233484,6.245008,11.525,46.168,1.443,0.997,0.538,1,16,0.427246,18883
136,ramp,6.275310,6.284866,9.557,37.358,1.158,0.828,0.420,1,16,0.888672,15745
137,ramp,6.315338,6.324549,9.211,37.290,1.120,0.796,0.400,1,16,0.514648,15198
138,ramp,6.324805,6.342722,17.916,3.072,0.359,14.182,0.487,1,16,0.926758,6355
139,ramp,6.386081,6.394449,8.368,49.545,1.026,0.723,0.366,1,16,0.584961,14031
140,ramp,6.394694,6.418084,23.389,4.365,0.610,0.455,18.011,1,16,0.579590,9208
141,ramp,6.471950,6.483715,11.765,62.618,1.489,1.049,0.371,1,16,0.868164,19731
142,ramp,6.483968,6.516115,32.147,5.604,0.812,0.602,25.256,1,16,0.614746,11908
143,ramp,6.516513,6.518652,2.139,1.415,0.148,0.452,0.442,1,16,0.789062,2471
144,ramp,6.578507,6.589538,11.032,68.056,1.419,0.989,0.353,1,16,0.774414,18572
145,ramp,6.589758,6.615082,25.324,7.887,1.260,0.894,15.379,1,16,0.893555,16975
146,ramp,6.615468,6.628911,13.444,6.724,1.039,0.729,5.209,1,16,0.805664,14161
147,ramp,6.629280,6.632635,3.356,2.717,0.259,0.228,0.356,1,16,0.843262,5542
148,ramp,6.671791,6.682000,10.209,46.665,1.246,0.897,0.484,1,16,0.824219,16908
149,ramp,6.823139,6.853699,30.560,153.450,2.068,1.539,14.550,1,16,0.817383,27358
150,ramp,6.853974,6.863451,9.477,7.280,1.136,0.820,0.429,1,16,0.828125,15542
151,ramp,6.863812,6.874663,10.851,8.136,1.296,0.914,0.680,1,16,0.632812,17457
152,ramp,6.875064,6.878069,3.005,2.492,0.237,0.205,0.383,1,16,0.519531,4937
153,ramp,6.878350,6.885314,6.964,5.424,0.784,0.573,0.390,1,16,0.615723,11467
154,ramp,6.885595,6.887689,2.094,1.266,0.133,0.403,0.500,1,16,0.762207,2350
155,ramp,6.915149,6.917839,2.690,27.276,1.457,0.906,0.442,1,16,0.500000,5012
156,ramp,6.918063,6.925810,7.748,5.784,0.893,0.629,0.597,1,16,0.649902,12451
157,ramp,6.942576,6.945650,3.074,18.984,0.217,0.219,0.351,1,16,0.575195,5080
158,ramp,6.955207,6.957802,2.595,10.731,0.175,0.719,0.458,1,16,0.572266,3235
159,ramp,6.958038,6.966061,8.023,1.196,0.124,6.102,0.768,1,16,0.548828,2285
