slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,1,896.364835,2205,256,12.598,7956.560,0.575,6325.061,14294.794,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.tiff,11311693
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,0,1,910.659800,1988,256,9.141,7367.726,0.577,5884.203,13261.647,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB.tiff,10459260
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,1,923.921596,3734,256,17.584,13643.270,0.595,11404.053,25065.502,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.tiff,19514820
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,0,1,948.987242,1606,256,8.195,5938.275,0.566,6173.195,12120.232,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057.tiff,9318083
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,1,961.107615,2024,256,10.488,7352.866,0.584,18327.918,25691.857,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.tiff,13312640
17,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,0,1,986.799995,4478,256,21.800,16365.742,0.615,18410.188,34798.344,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C.tiff,23759744
18,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,0,1,1021.598496,10735,256,48.944,39620.461,0.711,58904.058,98574.175,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD.tiff,51586944
19,TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,0,1,1120.173137,6236,256,29.023,22653.320,0.599,36962.586,59645.528,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F.tiff,30172015
20,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,0,1,1179.818818,18572,256,83.948,68204.021,1.346,70997.697,139287.012,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC.tiff,90078371
21,TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B,0,1,1319.105983,8980,256,40.965,32716.573,0.581,33634.708,66392.828,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B.tiff,44397152
