step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step_per_rank,world_size,loss
169,ramp,86.363916,86.800034,436.118,181.973,90.595,161.092,2.424,256,4,0.702357
170,ramp,86.800089,87.231329,431.240,176.294,90.716,161.741,2.456,256,4,0.859586
171,ramp,87.231384,87.667227,435.843,181.520,90.542,161.301,2.449,256,4,0.696014
172,ramp,87.667281,88.098683,431.402,177.040,90.516,161.489,2.323,256,4,0.598288
173,ramp,88.098735,88.528588,429.854,170.664,90.438,166.376,2.346,256,4,0.821217
174,ramp,88.528642,88.966124,437.482,169.812,90.510,174.653,2.476,256,4,0.516693
175,ramp,88.966178,89.400244,434.066,179.300,90.568,161.356,2.812,256,4,0.587359
176,ramp,89.400317,89.830841,430.524,176.267,90.655,161.138,2.435,256,4,0.825871
177,ramp,89.830892,90.267823,436.931,171.177,90.581,172.732,2.409,256,4,0.648183
178,ramp,90.267876,90.712332,444.456,189.929,90.733,161.305,2.457,256,4,0.531022
179,ramp,90.712387,91.141768,429.381,172.668,90.608,163.763,2.310,256,4,0.720971
180,ramp,91.141822,91.573054,431.233,176.215,90.831,161.371,2.786,256,4,0.687702
181,ramp,91.573118,92.006712,433.594,167.616,90.613,172.908,2.427,256,4,0.744876
182,ramp,92.006766,92.443682,436.916,182.291,90.640,161.453,2.498,256,4,1.022108
183,ramp,92.443743,92.878478,434.735,167.642,90.610,173.971,2.479,256,4,0.913255
184,ramp,92.878530,93.312608,434.077,179.496,90.601,161.527,2.423,256,4,0.798984
185,ramp,93.312662,93.748098,435.436,179.002,90.578,163.357,2.468,256,4,0.766242
186,ramp,93.748158,94.197986,449.829,186.162,90.538,170.644,2.455,256,4,0.622805
187,ramp,94.198039,94.633438,435.399,167.278,90.633,175.031,2.426,256,4,0.598754
188,ramp,94.633490,95.067870,434.380,166.599,90.433,174.896,2.422,256,4,0.731079
189,ramp,95.067926,95.501165,433.239,176.403,90.483,163.877,2.446,256,4,0.594898
190,ramp,95.501218,95.937975,436.757,182.283,90.549,161.456,2.438,256,4,0.612077
191,ramp,95.938028,96.389149,451.121,193.935,91.870,162.804,2.483,256,4,0.709211
192,ramp,96.389204,96.821575,432.371,175.730,90.631,163.676,2.303,256,4,0.668551
193,ramp,96.821627,97.256991,435.364,167.380,90.635,174.839,2.480,256,4,0.623305
194,ramp,97.257044,97.696851,439.808,176.961,90.496,169.841,2.476,256,4,0.617809
195,ramp,97.696908,98.127905,430.996,176.314,90.610,161.245,2.794,256,4,0.712222
196,ramp,98.127975,98.560064,432.089,177.397,90.588,161.651,2.422,256,4,0.572904
