slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
24,TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9,0,1,774.839999,5213,256,26.019,19490.042,0.608,930.398,20447.067,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9.tiff,3556682
25,TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8,0,1,795.287220,13502,256,54.790,50674.116,0.955,3001.029,53730.889,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8.tiff,8758361
26,TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,0,1,849.018287,10086,256,43.099,37098.743,0.657,1652.448,38794.947,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38.tiff,6940926
27,TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF,0,1,887.813391,22889,256,92.706,84704.120,1.626,3012.988,87811.440,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF.tiff,12527896
28,TCGA-B6-A0WW-01Z-00-DX1.64048633-1D1A-4074-8C50-7641159355DB,0,1,975.624996,25271,256,107.219,94695.028,1.813,2531.397,97335.456,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-B6-A0WW-01Z-00-DX1.64048633-1D1A-4074-8C50-7641159355DB.tiff,13372243
29,TCGA-BH-A0BS-01Z-00-DX1.FEE32127-4D0B-4560-A39C-4EAA5B189B70,0,1,1072.960831,14377,256,60.830,54550.949,1.002,2494.799,57107.581,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-BH-A0BS-01Z-00-DX1.FEE32127-4D0B-4560-A39C-4EAA5B189B70.tiff,8430097
30,TCGA-BH-A0DX-01Z-00-DX1.45C27E71-9A0A-400E-93A9-5CE7780F3C5E,0,1,1130.068567,5319,256,24.919,19889.395,0.660,2238.911,22153.885,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-BH-A0DX-01Z-00-DX1.45C27E71-9A0A-400E-93A9-5CE7780F3C5E.tiff,5770196
31,TCGA-BH-A0E7-01Z-00-DX1.7FEE54C4-3795-403C-85B9-FF932BE56788,0,1,1152.222599,7912,256,33.246,29747.325,0.749,1869.474,31650.795,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-BH-A0E7-01Z-00-DX1.7FEE54C4-3795-403C-85B9-FF932BE56788.tiff,6619120
32,TCGA-BH-A0HQ-01Z-00-DX1.0921FCEF-20A2-4D4B-A198-91AF9F6C814C,0,1,1183.873557,12548,256,51.090,47724.407,0.974,1817.648,49594.118,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-BH-A0HQ-01Z-00-DX1.0921FCEF-20A2-4D4B-A198-91AF9F6C814C.tiff,8377687
33,TCGA-BH-A0W5-01Z-00-DX1.84EA3913-667B-4694-A0F0-E629CAC615C8,0,1,1233.467830,13459,256,60.527,51151.665,0.916,2329.794,53542.902,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-BH-A0W5-01Z-00-DX1.84EA3913-667B-4694-A0F0-E629CAC615C8.tiff,8541450
