step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
223,ramp,10.373216,10.377126,3.910,3.105,0.357,0.276,0.339,1,32,0.766602,6467
224,ramp,10.521933,10.534040,12.107,153.881,1.520,1.087,0.361,1,32,0.763184,20092
225,ramp,10.534308,10.542526,8.218,6.345,0.976,0.702,0.392,1,32,0.775391,13502
226,ramp,10.542776,10.581351,38.575,6.974,1.089,29.787,0.896,1,32,0.678223,14911
227,ramp,10.581726,10.600491,18.765,10.102,1.633,1.187,6.110,1,32,0.832520,21614
228,ramp,10.600950,10.607124,6.174,3.588,0.426,0.323,2.115,1,32,0.880371,7296
229,ramp,10.607575,10.615599,8.023,6.369,0.976,0.690,0.346,1,32,0.542480,13375
230,ramp,10.615871,10.633413,17.542,1.699,14.424,1.179,0.444,1,32,0.737793,3300
231,ramp,10.633652,10.636064,2.412,1.911,0.167,0.175,0.333,1,32,0.821777,3841
232,ramp,10.667199,10.675463,8.263,37.284,0.984,0.715,0.351,1,32,0.785156,13676
233,ramp,10.675708,10.693709,18.001,0.986,0.116,16.014,1.005,1,32,0.714844,1800
234,ramp,10.822957,10.833707,10.750,137.255,1.328,0.947,0.365,1,32,0.639648,17841
235,ramp,10.834016,10.860366,26.349,4.178,0.563,0.410,21.436,1,32,0.617676,8655
236,ramp,10.860757,10.870086,9.330,5.220,0.744,0.561,2.950,1,32,0.667969,11007
237,ramp,10.870571,10.877258,6.687,5.413,0.758,0.569,0.342,1,32,0.617676,11161
238,ramp,10.877483,10.899956,22.473,4.358,0.640,0.466,17.094,1,32,0.820801,9356
239,ramp,10.900299,10.915061,14.762,5.380,0.765,0.575,8.227,1,32,0.606934,11328
240,ramp,10.915537,10.924379,8.842,6.941,1.080,0.760,0.395,1,32,0.633789,14582
241,ramp,10.983316,11.020186,36.869,69.932,1.854,1.370,22.515,1,32,0.716797,24320
242,ramp,11.020656,11.032146,11.491,5.516,0.770,0.582,4.913,1,32,0.638184,11350
243,ramp,11.032624,11.041330,8.706,6.926,1.056,0.760,0.347,1,32,0.702148,14478
244,ramp,11.065312,11.072926,7.614,29.635,0.912,0.645,0.339,1,32,0.670410,12593
245,ramp,11.097553,11.104293,6.740,29.604,0.770,0.581,0.346,1,32,0.582031,11392
246,ramp,11.141553,11.153580,12.027,45.071,1.289,1.741,1.110,1,32,0.669922,17295
247,ramp,11.153864,11.157193,3.329,2.693,0.257,0.224,0.360,1,32,0.724609,5472
