step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
52,steady,57.017091,58.113625,1096.534,1.764,1094.712,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
53,steady,58.125588,59.225053,1099.466,1.756,1097.656,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
54,steady,59.236105,60.337023,1100.918,1.747,1099.115,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
55,steady,60.350484,61.456313,1105.829,1.752,1104.021,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
56,steady,61.466852,62.570822,1103.970,1.770,1102.139,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
57,steady,62.584412,63.693786,1109.374,1.744,1107.574,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
58,steady,63.704717,64.813019,1108.303,1.753,1106.493,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
59,steady,64.824698,65.933814,1109.116,1.748,1107.312,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
60,steady,65.945345,67.056130,1110.784,1.760,1108.970,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
61,steady,67.067615,68.183043,1115.429,1.756,1113.615,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
62,steady,68.195092,69.308035,1112.943,1.758,1111.132,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
63,steady,69.319982,70.438266,1118.284,1.753,1116.475,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
64,steady,70.449628,71.577654,1128.026,1.756,1126.214,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
65,steady,71.590271,72.725688,1135.417,1.753,1133.611,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
66,steady,72.736871,73.869408,1132.537,1.756,1130.726,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
67,steady,73.881149,75.017167,1136.018,1.749,1134.218,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
68,steady,75.028618,76.163407,1134.789,1.756,1132.981,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
69,steady,76.174798,77.306262,1131.464,1.757,1129.653,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
